Country,Year,literacy_rate_adult_total_percent_of_people_ages_15_and_above
Afghanistan,1975,
Afghanistan,1976,
Afghanistan,1977,
Afghanistan,1978,
Afghanistan,1979,18.2
Afghanistan,1980,
Afghanistan,1981,
Afghanistan,1982,
Afghanistan,1983,
Afghanistan,1984,
Afghanistan,1985,
Afghanistan,1986,
Afghanistan,1987,
Afghanistan,1988,
Afghanistan,1989,
Afghanistan,1990,
Afghanistan,1991,
Afghanistan,1992,
Afghanistan,1993,
Afghanistan,1994,
Afghanistan,1995,
Afghanistan,1996,
Afghanistan,1997,
Afghanistan,1998,
Afghanistan,1999,
Afghanistan,2000,
Afghanistan,2001,
Afghanistan,2002,
Afghanistan,2003,
Afghanistan,2004,
Afghanistan,2005,
Afghanistan,2006,
Afghanistan,2007,
Afghanistan,2008,
Afghanistan,2009,
Afghanistan,2010,
Afghanistan,2011,39.0
Albania,1975,
Albania,1976,
Albania,1977,
Albania,1978,
Albania,1979,
Albania,1980,
Albania,1981,
Albania,1982,
Albania,1983,
Albania,1984,
Albania,1985,
Albania,1986,
Albania,1987,
Albania,1988,
Albania,1989,
Albania,1990,
Albania,1991,
Albania,1992,
Albania,1993,
Albania,1994,
Albania,1995,
Albania,1996,
Albania,1997,
Albania,1998,
Albania,1999,
Albania,2000,
Albania,2001,98.7
Albania,2002,
Albania,2003,
Albania,2004,
Albania,2005,
Albania,2006,
Albania,2007,
Albania,2008,95.9
Albania,2009,
Albania,2010,
Albania,2011,96.8
Algeria,1975,
Algeria,1976,
Algeria,1977,
Algeria,1978,
Algeria,1979,
Algeria,1980,
Algeria,1981,
Algeria,1982,
Algeria,1983,
Algeria,1984,
Algeria,1985,
Algeria,1986,
Algeria,1987,49.6
Algeria,1988,
Algeria,1989,
Algeria,1990,
Algeria,1991,
Algeria,1992,
Algeria,1993,
Algeria,1994,
Algeria,1995,
Algeria,1996,
Algeria,1997,
Algeria,1998,
Algeria,1999,
Algeria,2000,
Algeria,2001,
Algeria,2002,69.9
Algeria,2003,
Algeria,2004,
Algeria,2005,
Algeria,2006,72.7
Algeria,2007,
Algeria,2008,
Algeria,2009,
Algeria,2010,
Algeria,2011,
Angola,1975,
Angola,1976,
Angola,1977,
Angola,1978,
Angola,1979,
Angola,1980,
Angola,1981,
Angola,1982,
Angola,1983,
Angola,1984,
Angola,1985,
Angola,1986,
Angola,1987,
Angola,1988,
Angola,1989,
Angola,1990,
Angola,1991,
Angola,1992,
Angola,1993,
Angola,1994,
Angola,1995,
Angola,1996,
Angola,1997,
Angola,1998,
Angola,1999,
Angola,2000,
Angola,2001,67.4
Angola,2002,
Angola,2003,
Angola,2004,
Angola,2005,
Angola,2006,
Angola,2007,
Angola,2008,
Angola,2009,
Angola,2010,
Angola,2011,70.4
Antigua and Barbuda,1975,
Antigua and Barbuda,1976,
Antigua and Barbuda,1977,
Antigua and Barbuda,1978,
Antigua and Barbuda,1979,
Antigua and Barbuda,1980,
Antigua and Barbuda,1981,
Antigua and Barbuda,1982,
Antigua and Barbuda,1983,
Antigua and Barbuda,1984,
Antigua and Barbuda,1985,
Antigua and Barbuda,1986,
Antigua and Barbuda,1987,
Antigua and Barbuda,1988,
Antigua and Barbuda,1989,
Antigua and Barbuda,1990,
Antigua and Barbuda,1991,
Antigua and Barbuda,1992,
Antigua and Barbuda,1993,
Antigua and Barbuda,1994,
Antigua and Barbuda,1995,
Antigua and Barbuda,1996,
Antigua and Barbuda,1997,
Antigua and Barbuda,1998,
Antigua and Barbuda,1999,
Antigua and Barbuda,2000,
Antigua and Barbuda,2001,99.0
Antigua and Barbuda,2002,
Antigua and Barbuda,2003,
Antigua and Barbuda,2004,
Antigua and Barbuda,2005,
Antigua and Barbuda,2006,
Antigua and Barbuda,2007,
Antigua and Barbuda,2008,
Antigua and Barbuda,2009,
Antigua and Barbuda,2010,
Antigua and Barbuda,2011,99.0
Argentina,1975,
Argentina,1976,
Argentina,1977,
Argentina,1978,
Argentina,1979,
Argentina,1980,93.9
Argentina,1981,
Argentina,1982,
Argentina,1983,
Argentina,1984,
Argentina,1985,
Argentina,1986,
Argentina,1987,
Argentina,1988,
Argentina,1989,
Argentina,1990,
Argentina,1991,96.1
Argentina,1992,
Argentina,1993,
Argentina,1994,
Argentina,1995,
Argentina,1996,
Argentina,1997,
Argentina,1998,
Argentina,1999,
Argentina,2000,
Argentina,2001,97.2
Argentina,2002,
Argentina,2003,
Argentina,2004,
Argentina,2005,
Argentina,2006,
Argentina,2007,
Argentina,2008,
Argentina,2009,
Argentina,2010,
Argentina,2011,97.9
Armenia,1975,
Armenia,1976,
Armenia,1977,
Armenia,1978,
Armenia,1979,
Armenia,1980,
Armenia,1981,
Armenia,1982,
Armenia,1983,
Armenia,1984,
Armenia,1985,
Armenia,1986,
Armenia,1987,
Armenia,1988,
Armenia,1989,98.8
Armenia,1990,
Armenia,1991,
Armenia,1992,
Armenia,1993,
Armenia,1994,
Armenia,1995,
Armenia,1996,
Armenia,1997,
Armenia,1998,
Armenia,1999,
Armenia,2000,
Armenia,2001,99.4
Armenia,2002,
Armenia,2003,
Armenia,2004,
Armenia,2005,
Armenia,2006,
Armenia,2007,
Armenia,2008,
Armenia,2009,
Armenia,2010,
Armenia,2011,99.6
Azerbaijan,1975,
Azerbaijan,1976,
Azerbaijan,1977,
Azerbaijan,1978,
Azerbaijan,1979,
Azerbaijan,1980,
Azerbaijan,1981,
Azerbaijan,1982,
Azerbaijan,1983,
Azerbaijan,1984,
Azerbaijan,1985,
Azerbaijan,1986,
Azerbaijan,1987,
Azerbaijan,1988,
Azerbaijan,1989,
Azerbaijan,1990,
Azerbaijan,1991,
Azerbaijan,1992,
Azerbaijan,1993,
Azerbaijan,1994,
Azerbaijan,1995,
Azerbaijan,1996,
Azerbaijan,1997,
Azerbaijan,1998,
Azerbaijan,1999,98.8
Azerbaijan,2000,
Azerbaijan,2001,
Azerbaijan,2002,
Azerbaijan,2003,
Azerbaijan,2004,
Azerbaijan,2005,
Azerbaijan,2006,
Azerbaijan,2007,99.6
Azerbaijan,2008,
Azerbaijan,2009,99.8
Azerbaijan,2010,
Azerbaijan,2011,
Bahrain,1975,
Bahrain,1976,
Bahrain,1977,
Bahrain,1978,
Bahrain,1979,
Bahrain,1980,
Bahrain,1981,69.8
Bahrain,1982,
Bahrain,1983,
Bahrain,1984,
Bahrain,1985,
Bahrain,1986,
Bahrain,1987,
Bahrain,1988,
Bahrain,1989,
Bahrain,1990,
Bahrain,1991,84.0
Bahrain,1992,
Bahrain,1993,
Bahrain,1994,
Bahrain,1995,
Bahrain,1996,
Bahrain,1997,
Bahrain,1998,
Bahrain,1999,
Bahrain,2000,
Bahrain,2001,86.5
Bahrain,2002,
Bahrain,2003,
Bahrain,2004,
Bahrain,2005,
Bahrain,2006,
Bahrain,2007,
Bahrain,2008,
Bahrain,2009,
Bahrain,2010,94.6
Bahrain,2011,
Bangladesh,1975,
Bangladesh,1976,
Bangladesh,1977,
Bangladesh,1978,
Bangladesh,1979,
Bangladesh,1980,
Bangladesh,1981,29.2
Bangladesh,1982,
Bangladesh,1983,
Bangladesh,1984,
Bangladesh,1985,
Bangladesh,1986,
Bangladesh,1987,
Bangladesh,1988,
Bangladesh,1989,
Bangladesh,1990,
Bangladesh,1991,35.3
Bangladesh,1992,
Bangladesh,1993,
Bangladesh,1994,
Bangladesh,1995,
Bangladesh,1996,
Bangladesh,1997,
Bangladesh,1998,
Bangladesh,1999,
Bangladesh,2000,
Bangladesh,2001,47.5
Bangladesh,2002,
Bangladesh,2003,
Bangladesh,2004,
Bangladesh,2005,
Bangladesh,2006,
Bangladesh,2007,
Bangladesh,2008,
Bangladesh,2009,
Bangladesh,2010,
Bangladesh,2011,57.7
Belarus,1975,
Belarus,1976,
Belarus,1977,
Belarus,1978,
Belarus,1979,
Belarus,1980,
Belarus,1981,
Belarus,1982,
Belarus,1983,
Belarus,1984,
Belarus,1985,
Belarus,1986,
Belarus,1987,
Belarus,1988,
Belarus,1989,97.9
Belarus,1990,
Belarus,1991,
Belarus,1992,
Belarus,1993,
Belarus,1994,
Belarus,1995,
Belarus,1996,
Belarus,1997,
Belarus,1998,
Belarus,1999,99.6
Belarus,2000,
Belarus,2001,
Belarus,2002,
Belarus,2003,
Belarus,2004,
Belarus,2005,
Belarus,2006,
Belarus,2007,
Belarus,2008,
Belarus,2009,99.6
Belarus,2010,
Belarus,2011,
Belize,1975,
Belize,1976,
Belize,1977,
Belize,1978,
Belize,1979,
Belize,1980,
Belize,1981,
Belize,1982,
Belize,1983,
Belize,1984,
Belize,1985,
Belize,1986,
Belize,1987,
Belize,1988,
Belize,1989,
Belize,1990,
Belize,1991,70.3
Belize,1992,
Belize,1993,
Belize,1994,
Belize,1995,
Belize,1996,
Belize,1997,
Belize,1998,
Belize,1999,
Belize,2000,
Belize,2001,
Belize,2002,
Belize,2003,
Belize,2004,
Belize,2005,
Belize,2006,
Belize,2007,
Belize,2008,
Belize,2009,
Belize,2010,
Belize,2011,
Benin,1975,
Benin,1976,
Benin,1977,
Benin,1978,
Benin,1979,16.5
Benin,1980,
Benin,1981,
Benin,1982,
Benin,1983,
Benin,1984,
Benin,1985,
Benin,1986,
Benin,1987,
Benin,1988,
Benin,1989,
Benin,1990,
Benin,1991,
Benin,1992,27.3
Benin,1993,
Benin,1994,
Benin,1995,
Benin,1996,
Benin,1997,
Benin,1998,
Benin,1999,
Benin,2000,
Benin,2001,
Benin,2002,34.7
Benin,2003,
Benin,2004,
Benin,2005,
Benin,2006,28.7
Benin,2007,
Benin,2008,
Benin,2009,
Benin,2010,
Benin,2011,
Bhutan,1975,
Bhutan,1976,
Bhutan,1977,
Bhutan,1978,
Bhutan,1979,
Bhutan,1980,
Bhutan,1981,
Bhutan,1982,
Bhutan,1983,
Bhutan,1984,
Bhutan,1985,
Bhutan,1986,
Bhutan,1987,
Bhutan,1988,
Bhutan,1989,
Bhutan,1990,
Bhutan,1991,
Bhutan,1992,
Bhutan,1993,
Bhutan,1994,
Bhutan,1995,
Bhutan,1996,
Bhutan,1997,
Bhutan,1998,
Bhutan,1999,
Bhutan,2000,
Bhutan,2001,
Bhutan,2002,
Bhutan,2003,
Bhutan,2004,
Bhutan,2005,52.8
Bhutan,2006,
Bhutan,2007,
Bhutan,2008,
Bhutan,2009,
Bhutan,2010,
Bhutan,2011,
Bolivia,1975,
Bolivia,1976,63.2
Bolivia,1977,
Bolivia,1978,
Bolivia,1979,
Bolivia,1980,
Bolivia,1981,
Bolivia,1982,
Bolivia,1983,
Bolivia,1984,
Bolivia,1985,
Bolivia,1986,
Bolivia,1987,
Bolivia,1988,
Bolivia,1989,
Bolivia,1990,
Bolivia,1991,
Bolivia,1992,80.0
Bolivia,1993,
Bolivia,1994,
Bolivia,1995,
Bolivia,1996,
Bolivia,1997,
Bolivia,1998,
Bolivia,1999,
Bolivia,2000,
Bolivia,2001,86.7
Bolivia,2002,
Bolivia,2003,
Bolivia,2004,
Bolivia,2005,
Bolivia,2006,
Bolivia,2007,90.7
Bolivia,2008,90.7
Bolivia,2009,91.2
Bolivia,2010,
Bolivia,2011,
Bosnia and Herzegovina,1975,
Bosnia and Herzegovina,1976,
Bosnia and Herzegovina,1977,
Bosnia and Herzegovina,1978,
Bosnia and Herzegovina,1979,
Bosnia and Herzegovina,1980,
Bosnia and Herzegovina,1981,
Bosnia and Herzegovina,1982,
Bosnia and Herzegovina,1983,
Bosnia and Herzegovina,1984,
Bosnia and Herzegovina,1985,
Bosnia and Herzegovina,1986,
Bosnia and Herzegovina,1987,
Bosnia and Herzegovina,1988,
Bosnia and Herzegovina,1989,
Bosnia and Herzegovina,1990,
Bosnia and Herzegovina,1991,
Bosnia and Herzegovina,1992,
Bosnia and Herzegovina,1993,
Bosnia and Herzegovina,1994,
Bosnia and Herzegovina,1995,
Bosnia and Herzegovina,1996,
Bosnia and Herzegovina,1997,
Bosnia and Herzegovina,1998,
Bosnia and Herzegovina,1999,
Bosnia and Herzegovina,2000,96.7
Bosnia and Herzegovina,2001,
Bosnia and Herzegovina,2002,
Bosnia and Herzegovina,2003,
Bosnia and Herzegovina,2004,
Bosnia and Herzegovina,2005,
Bosnia and Herzegovina,2006,
Bosnia and Herzegovina,2007,
Bosnia and Herzegovina,2008,
Bosnia and Herzegovina,2009,
Bosnia and Herzegovina,2010,
Bosnia and Herzegovina,2011,98.0
Botswana,1975,
Botswana,1976,
Botswana,1977,
Botswana,1978,
Botswana,1979,
Botswana,1980,
Botswana,1981,
Botswana,1982,
Botswana,1983,
Botswana,1984,
Botswana,1985,
Botswana,1986,
Botswana,1987,
Botswana,1988,
Botswana,1989,
Botswana,1990,
Botswana,1991,68.6
Botswana,1992,
Botswana,1993,
Botswana,1994,
Botswana,1995,
Botswana,1996,
Botswana,1997,
Botswana,1998,
Botswana,1999,
Botswana,2000,
Botswana,2001,
Botswana,2002,
Botswana,2003,81.2
Botswana,2004,
Botswana,2005,
Botswana,2006,
Botswana,2007,
Botswana,2008,
Botswana,2009,
Botswana,2010,
Botswana,2011,85.1
Brazil,1975,
Brazil,1976,
Brazil,1977,
Brazil,1978,
Brazil,1979,
Brazil,1980,74.6
Brazil,1981,
Brazil,1982,
Brazil,1983,
Brazil,1984,
Brazil,1985,
Brazil,1986,
Brazil,1987,
Brazil,1988,
Brazil,1989,
Brazil,1990,
Brazil,1991,
Brazil,1992,
Brazil,1993,
Brazil,1994,
Brazil,1995,
Brazil,1996,
Brazil,1997,
Brazil,1998,
Brazil,1999,
Brazil,2000,86.4
Brazil,2001,
Brazil,2002,
Brazil,2003,
Brazil,2004,88.6
Brazil,2005,
Brazil,2006,89.6
Brazil,2007,90.0
Brazil,2008,90.0
Brazil,2009,90.3
Brazil,2010,90.4
Brazil,2011,
Brunei,1975,
Brunei,1976,
Brunei,1977,
Brunei,1978,
Brunei,1979,
Brunei,1980,
Brunei,1981,77.8
Brunei,1982,
Brunei,1983,
Brunei,1984,
Brunei,1985,
Brunei,1986,
Brunei,1987,
Brunei,1988,
Brunei,1989,
Brunei,1990,
Brunei,1991,87.8
Brunei,1992,
Brunei,1993,
Brunei,1994,
Brunei,1995,
Brunei,1996,
Brunei,1997,
Brunei,1998,
Brunei,1999,
Brunei,2000,
Brunei,2001,92.7
Brunei,2002,
Brunei,2003,
Brunei,2004,
Brunei,2005,
Brunei,2006,
Brunei,2007,
Brunei,2008,
Brunei,2009,
Brunei,2010,
Brunei,2011,95.5
Bulgaria,1975,
Bulgaria,1976,
Bulgaria,1977,
Bulgaria,1978,
Bulgaria,1979,
Bulgaria,1980,
Bulgaria,1981,
Bulgaria,1982,
Bulgaria,1983,
Bulgaria,1984,
Bulgaria,1985,
Bulgaria,1986,
Bulgaria,1987,
Bulgaria,1988,
Bulgaria,1989,
Bulgaria,1990,
Bulgaria,1991,
Bulgaria,1992,
Bulgaria,1993,
Bulgaria,1994,
Bulgaria,1995,
Bulgaria,1996,
Bulgaria,1997,
Bulgaria,1998,
Bulgaria,1999,
Bulgaria,2000,
Bulgaria,2001,98.2
Bulgaria,2002,
Bulgaria,2003,
Bulgaria,2004,
Bulgaria,2005,
Bulgaria,2006,
Bulgaria,2007,
Bulgaria,2008,
Bulgaria,2009,
Bulgaria,2010,
Bulgaria,2011,98.3
Burkina Faso,1975,8.69
Burkina Faso,1976,
Burkina Faso,1977,
Burkina Faso,1978,
Burkina Faso,1979,
Burkina Faso,1980,
Burkina Faso,1981,
Burkina Faso,1982,
Burkina Faso,1983,
Burkina Faso,1984,
Burkina Faso,1985,
Burkina Faso,1986,
Burkina Faso,1987,
Burkina Faso,1988,
Burkina Faso,1989,
Burkina Faso,1990,
Burkina Faso,1991,13.6
Burkina Faso,1992,
Burkina Faso,1993,
Burkina Faso,1994,
Burkina Faso,1995,
Burkina Faso,1996,12.8
Burkina Faso,1997,
Burkina Faso,1998,
Burkina Faso,1999,
Burkina Faso,2000,
Burkina Faso,2001,
Burkina Faso,2002,
Burkina Faso,2003,21.8
Burkina Faso,2004,
Burkina Faso,2005,23.6
Burkina Faso,2006,
Burkina Faso,2007,28.7
Burkina Faso,2008,
Burkina Faso,2009,
Burkina Faso,2010,
Burkina Faso,2011,
Burundi,1975,
Burundi,1976,
Burundi,1977,
Burundi,1978,
Burundi,1979,22.5
Burundi,1980,
Burundi,1981,
Burundi,1982,
Burundi,1983,
Burundi,1984,
Burundi,1985,
Burundi,1986,
Burundi,1987,
Burundi,1988,
Burundi,1989,
Burundi,1990,37.4
Burundi,1991,
Burundi,1992,
Burundi,1993,
Burundi,1994,
Burundi,1995,
Burundi,1996,
Burundi,1997,
Burundi,1998,
Burundi,1999,
Burundi,2000,59.3
Burundi,2001,
Burundi,2002,
Burundi,2003,
Burundi,2004,
Burundi,2005,
Burundi,2006,
Burundi,2007,
Burundi,2008,87.0
Burundi,2009,
Burundi,2010,
Burundi,2011,
Cambodia,1975,
Cambodia,1976,
Cambodia,1977,
Cambodia,1978,
Cambodia,1979,
Cambodia,1980,
Cambodia,1981,
Cambodia,1982,
Cambodia,1983,
Cambodia,1984,
Cambodia,1985,
Cambodia,1986,
Cambodia,1987,
Cambodia,1988,
Cambodia,1989,
Cambodia,1990,
Cambodia,1991,
Cambodia,1992,
Cambodia,1993,
Cambodia,1994,
Cambodia,1995,
Cambodia,1996,
Cambodia,1997,
Cambodia,1998,67.3
Cambodia,1999,
Cambodia,2000,
Cambodia,2001,
Cambodia,2002,
Cambodia,2003,
Cambodia,2004,73.6
Cambodia,2005,
Cambodia,2006,
Cambodia,2007,
Cambodia,2008,77.6
Cambodia,2009,73.9
Cambodia,2010,
Cambodia,2011,
Cameroon,1975,
Cameroon,1976,41.2
Cameroon,1977,
Cameroon,1978,
Cameroon,1979,
Cameroon,1980,
Cameroon,1981,
Cameroon,1982,
Cameroon,1983,
Cameroon,1984,
Cameroon,1985,
Cameroon,1986,
Cameroon,1987,
Cameroon,1988,
Cameroon,1989,
Cameroon,1990,
Cameroon,1991,
Cameroon,1992,
Cameroon,1993,
Cameroon,1994,
Cameroon,1995,
Cameroon,1996,
Cameroon,1997,
Cameroon,1998,
Cameroon,1999,
Cameroon,2000,68.4
Cameroon,2001,
Cameroon,2002,
Cameroon,2003,
Cameroon,2004,
Cameroon,2005,
Cameroon,2006,
Cameroon,2007,70.7
Cameroon,2008,
Cameroon,2009,
Cameroon,2010,71.3
Cameroon,2011,
Cape Verde,1975,
Cape Verde,1976,
Cape Verde,1977,
Cape Verde,1978,
Cape Verde,1979,
Cape Verde,1980,
Cape Verde,1981,
Cape Verde,1982,
Cape Verde,1983,
Cape Verde,1984,
Cape Verde,1985,
Cape Verde,1986,
Cape Verde,1987,
Cape Verde,1988,
Cape Verde,1989,
Cape Verde,1990,62.8
Cape Verde,1991,
Cape Verde,1992,
Cape Verde,1993,
Cape Verde,1994,
Cape Verde,1995,
Cape Verde,1996,
Cape Verde,1997,
Cape Verde,1998,
Cape Verde,1999,
Cape Verde,2000,
Cape Verde,2001,
Cape Verde,2002,
Cape Verde,2003,
Cape Verde,2004,80.0
Cape Verde,2005,
Cape Verde,2006,
Cape Verde,2007,
Cape Verde,2008,
Cape Verde,2009,
Cape Verde,2010,
Cape Verde,2011,84.9
Central African Republic,1975,18.2
Central African Republic,1976,
Central African Republic,1977,
Central African Republic,1978,
Central African Republic,1979,
Central African Republic,1980,
Central African Republic,1981,
Central African Republic,1982,
Central African Republic,1983,
Central African Republic,1984,
Central African Republic,1985,
Central African Republic,1986,
Central African Republic,1987,
Central African Republic,1988,33.6
Central African Republic,1989,
Central African Republic,1990,
Central African Republic,1991,
Central African Republic,1992,
Central African Republic,1993,
Central African Republic,1994,
Central African Republic,1995,
Central African Republic,1996,
Central African Republic,1997,
Central African Republic,1998,
Central African Republic,1999,
Central African Republic,2000,50.6
Central African Republic,2001,
Central African Republic,2002,
Central African Republic,2003,
Central African Republic,2004,
Central African Republic,2005,
Central African Republic,2006,
Central African Republic,2007,
Central African Republic,2008,
Central African Republic,2009,
Central African Republic,2010,
Central African Republic,2011,56.6
Chad,1975,
Chad,1976,
Chad,1977,
Chad,1978,
Chad,1979,
Chad,1980,
Chad,1981,
Chad,1982,
Chad,1983,
Chad,1984,
Chad,1985,
Chad,1986,
Chad,1987,
Chad,1988,
Chad,1989,
Chad,1990,
Chad,1991,
Chad,1992,
Chad,1993,10.9
Chad,1994,
Chad,1995,
Chad,1996,
Chad,1997,
Chad,1998,
Chad,1999,
Chad,2000,25.6
Chad,2001,
Chad,2002,
Chad,2003,
Chad,2004,28.4
Chad,2005,
Chad,2006,
Chad,2007,
Chad,2008,
Chad,2009,
Chad,2010,
Chad,2011,35.4
Chile,1975,
Chile,1976,
Chile,1977,
Chile,1978,
Chile,1979,
Chile,1980,
Chile,1981,
Chile,1982,91.1
Chile,1983,
Chile,1984,
Chile,1985,
Chile,1986,
Chile,1987,
Chile,1988,
Chile,1989,
Chile,1990,
Chile,1991,
Chile,1992,94.3
Chile,1993,
Chile,1994,
Chile,1995,
Chile,1996,
Chile,1997,
Chile,1998,
Chile,1999,
Chile,2000,
Chile,2001,
Chile,2002,95.7
Chile,2003,
Chile,2004,
Chile,2005,
Chile,2006,
Chile,2007,
Chile,2008,98.7
Chile,2009,98.5
Chile,2010,
Chile,2011,
China,1975,
China,1976,
China,1977,
China,1978,
China,1979,
China,1980,
China,1981,
China,1982,65.5
China,1983,
China,1984,
China,1985,
China,1986,
China,1987,
China,1988,
China,1989,
China,1990,77.8
China,1991,
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
